category,image_name,count,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter1_mean,jitter1_raw,jitter2_mean,jitter2_raw,mask_frames_raw,response.corr_mean,response.corr_raw,response.corr_std,response.duration_raw,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.duration_raw,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Nonliving_Things,processed/house/House30_1.png,1,1.0,1.0,1,39.21094512939453,39.21094512939453,0.0,35.54296875,35.54296875,0.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,,'2',0.4777418076992035,0.4777418076992035,0.0,'nV_V',1.0,1.0,0.0,,'1',0.5296298265457153,0.5296298265457153,0.0,40.71225357055664,40.71225357055664,0.0,4.0
Living_Things,processed/face/female_77_1.png,1,1.0,2.0,2,347.0503845214844,347.0503845214844,0.0,343.8834228515625,343.8834228515625,0.0,2.5,2.5,2.0,2.0,3,0.0,0.0,0.0,'--',,,,,'nV_V',0.0,0.0,0.0,'--',,,,,348.5532531738281,348.5532531738281,0.0,45.0
Living_Things,processed/face/female_45_1.png,1,1.0,1.0,1,702.3880004882812,702.3880004882812,0.0,699.7218017578125,699.7218017578125,0.0,2.0,2.0,2.0,2.0,3,0.0,0.0,0.0,'--',,,,,'V_nV',0.0,0.0,0.0,'--',,,,,703.9066162109375,703.9066162109375,0.0,94.0
Nonliving_Things,processed/house/House37_1.png,1,1.0,2.0,2,143.01425170898438,143.01425170898438,0.0,141.34861755371094,141.34861755371094,0.0,1.0,1.0,1.5,1.5,3,0.0,0.0,0.0,'--',,,,,'V_nV',0.0,0.0,0.0,'--',,,,,144.51649475097656,144.51649475097656,0.0,18.0
Living_Things,processed/face/male_37_1.png,1,1.0,1.0,1,594.7471923828125,594.7471923828125,0.0,592.0803833007812,592.0803833007812,0.0,2.0,2.0,1.5,1.5,3,0.0,0.0,0.0,'--',,,,,'V_nV',0.0,0.0,0.0,'--',,,,,596.2638549804688,596.2638549804688,0.0,79.0
Living_Things,processed/face/female_86_1.png,1,1.0,1.0,1,501.1369934082031,501.1369934082031,0.0,497.4532165527344,497.4532165527344,0.0,3.0,3.0,2.0,2.0,3,0.0,0.0,0.0,'--',,,,,'V_nV',0.0,0.0,0.0,'--',,,,,502.6376647949219,502.6376647949219,0.0,66.0
Living_Things,processed/face/female_65_1.png,1,1.0,1.0,1,16.683950424194336,16.683950424194336,0.0,14.539525032043457,14.539525032043457,0.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,0.0,,'1',0.595068097114563,0.595068097114563,0.0,'V_nV',0.0,0.0,0.0,,'2',0.7472816109657288,0.7472816109657288,0.0,18.18996810913086,18.18996810913086,0.0,1.0
Living_Things,processed/face/female_32_1.png,1,1.0,2.0,2,194.7823944091797,194.7823944091797,0.0,192.1291046142578,192.1291046142578,0.0,2.0,2.0,2.0,2.0,3,0.0,0.0,0.0,'--',,,,,'nV_V',0.0,0.0,0.0,'--',,,,,196.2997283935547,196.2997283935547,0.0,25.0
Nonliving_Things,processed/house/House77_1.png,1,1.0,2.0,2,396.533447265625,396.533447265625,0.0,393.86688232421875,393.86688232421875,0.0,2.0,2.0,1.0,1.0,3,0.0,0.0,0.0,'--',,,,,'V_nV',0.0,0.0,0.0,'--',,,,,398.03533935546875,398.03533935546875,0.0,52.0
Living_Things,processed/face/male_96_1.png,1,1.0,1.0,1,508.4450378417969,508.4450378417969,0.0,506.14361572265625,506.14361572265625,0.0,1.5,1.5,1.0,1.0,3,0.0,0.0,0.0,'--',,,,,'V_nV',0.0,0.0,0.0,'--',,,,,509.9475402832031,509.9475402832031,0.0,67.0
