category,image_name,image_number,image_iter,fixation_duration,fixation_blank_duration,delay_duration,resp_choices,delay_in_between,visb_choices,convert,corrAns
Nonliving_Things,processed/nonliving/nonliving-89_16.png,89,16,0.3971798923686447,0.558515687228559,1.6157493512447656,nV_V,0.6533374685320906,?,Nonliving_Things-Living_Things,1
Living_Things,processed/face/face-89_16.png,89,16,0.39592400292196994,0.5382685846152843,1.3845767602522798,V_nV,0.6554426835713465,?,Living_Things-Nonliving_Things,1
Nonliving_Things,processed/nonliving/nonliving-5_16.png,5,16,0.3435364975039874,0.8556453319787228,1.2883570093492283,V_nV,0.5994687353701968,?,Living_Things-Nonliving_Things,2
Nonliving_Things,processed/nonliving/nonliving-35_16.png,35,16,0.4296087794554201,0.9181309713803798,1.131257135650177,V_nV,0.6355866188136281,?,Living_Things-Nonliving_Things,2
Living_Things,processed/face/face-62_16.png,62,16,0.35560927421904626,0.506466656775663,1.0060981546724967,nV_V,0.5295757774207019,?,Nonliving_Things-Living_Things,2
Living_Things,processed/face/face-56_16.png,56,16,0.46172632828379134,0.8801126903010281,1.8506807373362109,V_nV,0.6724625668318363,?,Living_Things-Nonliving_Things,1
Nonliving_Things,processed/nonliving/nonliving-84_16.png,84,16,0.35186416984050195,0.5809274535890494,1.4367078069527723,nV_V,0.8983335290665252,?,Nonliving_Things-Living_Things,1
Living_Things,processed/face/face-12_16.png,12,16,0.4519754743151264,0.5505108799524356,1.9792752120503727,nV_V,0.634396331971233,?,Nonliving_Things-Living_Things,2
Nonliving_Things,processed/nonliving/nonliving-83_16.png,83,16,0.38002921769955755,0.8469329455387998,1.0581318073412418,V_nV,0.8421671200231562,?,Living_Things-Nonliving_Things,2
Living_Things,processed/face/face-58_16.png,58,16,0.3313677466865357,0.5893455364407365,1.324492332190876,nV_V,0.7089927524778222,?,Nonliving_Things-Living_Things,2
Living_Things,processed/face/face-11_16.png,11,16,0.3217497953987905,0.5059154334430029,1.2265770245343854,V_nV,0.5899171101257654,?,Living_Things-Nonliving_Things,1
Living_Things,processed/face/face-86_16.png,86,16,0.3016779724122153,0.9111486588861278,1.4166368154387627,nV_V,0.8873551392414165,?,Nonliving_Things-Living_Things,2
Nonliving_Things,processed/nonliving/nonliving-39_16.png,39,16,0.4893700316910701,0.7564546006345798,1.9108826232492113,nV_V,0.516570627251945,?,Nonliving_Things-Living_Things,1
Living_Things,processed/face/face-4_16.png,4,16,0.26529919459766643,0.8401491616488477,1.0526044796103284,V_nV,0.5565485276567992,?,Living_Things-Nonliving_Things,1
Nonliving_Things,processed/nonliving/nonliving-30_16.png,30,16,0.3350178807954062,0.9031201252102087,1.5102390427795536,V_nV,0.9787055695314322,?,Living_Things-Nonliving_Things,2
Living_Things,processed/face/face-46_16.png,46,16,0.3568263231825768,0.5053282694602532,1.741868769141703,nV_V,0.631629056175413,?,Nonliving_Things-Living_Things,2
