category,image_name,count,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter1_mean,jitter1_raw,jitter2_mean,jitter2_raw,probe_Frames_mean,probe_Frames_raw,probe_Frames_std,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Living_Things,processed\face\male_18_0.png,0,1.0,1.0,1,49.313720703125,49.313720703125,0.0,46.92897415161133,46.92897415161133,0.0,1.5,1.5,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,50.8151741027832,50.8151741027832,0.0,5.0
Nonliving_Things,processed\house\House5_0.png,0,1.0,2.0,2,241.68917846679688,241.68917846679688,0.0,239.8214569091797,239.8214569091797,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,243.1906280517578,243.1906280517578,0.0,28.0
Nonliving_Things,processed\house\House38_0.png,0,1.0,1.0,1,66.06378173828125,66.06378173828125,0.0,63.69552993774414,63.69552993774414,0.0,1.5,1.5,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,67.56671905517578,67.56671905517578,0.0,7.0
Nonliving_Things,processed\house\House42_0.png,0,1.0,2.0,2,1089.3018798828125,1089.3018798828125,0.0,1087.43408203125,1087.43408203125,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1090.8033447265625,1090.8033447265625,0.0,125.0
Living_Things,processed\face\male_24_0.png,0,1.0,1.0,1,1509.3544921875,1509.3544921875,0.0,1506.4691162109375,1506.4691162109375,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1510.8560791015625,1510.8560791015625,0.0,174.0
Living_Things,processed\face\male_92_0.png,0,1.0,1.0,1,1439.2679443359375,1439.2679443359375,0.0,1436.8829345703125,1436.8829345703125,0.0,1.5,1.5,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1440.769287109375,1440.769287109375,0.0,166.0
Living_Things,processed\face\male_21_0.png,0,1.0,1.0,1,396.2433166503906,396.2433166503906,0.0,393.3580322265625,393.3580322265625,0.0,2.0,2.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,397.74462890625,397.74462890625,0.0,45.0
Living_Things,processed\face\male_10_0.png,0,1.0,2.0,2,838.5192260742188,838.5192260742188,0.0,835.6328125,835.6328125,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,840.0197143554688,840.0197143554688,0.0,96.0
Living_Things,processed\face\female_40_0.png,0,1.0,1.0,1,1312.4580078125,1312.4580078125,0.0,1309.5556640625,1309.5556640625,0.0,2.0,2.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1313.95947265625,1313.95947265625,0.0,151.0
Living_Things,processed\face\male_23_0.png,0,1.0,2.0,2,1466.430419921875,1466.430419921875,0.0,1462.5418701171875,1462.5418701171875,0.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1467.9302978515625,1467.9302978515625,0.0,169.0
Nonliving_Things,processed\house\House48_0.png,0,1.0,2.0,2,1575.970947265625,1575.970947265625,0.0,1572.601318359375,1572.601318359375,0.0,2.5,2.5,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1577.4725341796875,1577.4725341796875,0.0,182.0
Living_Things,processed\face\female_45_0.png,0,1.0,2.0,2,1365.7945556640625,1365.7945556640625,0.0,1363.40966796875,1363.40966796875,0.0,1.5,1.5,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1367.2958984375,1367.2958984375,0.0,157.0
Nonliving_Things,processed\house\House96_0.png,0,1.0,1.0,1,1166.2955322265625,1166.2955322265625,0.0,1163.4100341796875,1163.4100341796875,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1167.7969970703125,1167.7969970703125,0.0,134.0
Nonliving_Things,processed\house\House61_0.png,0,1.0,2.0,2,1674.2357177734375,1674.2357177734375,0.0,1671.8670654296875,1671.8670654296875,0.0,1.5,1.5,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1675.7371826171875,1675.7371826171875,0.0,193.0
Living_Things,processed\face\male_57_0.png,0,1.0,2.0,2,855.2850341796875,855.2850341796875,0.0,852.9000244140625,852.9000244140625,0.0,1.5,1.5,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,856.7864379882812,856.7864379882812,0.0,98.0
