category,image_name,count,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter1_mean,jitter1_raw,jitter2_mean,jitter2_raw,probe_Frames_mean,probe_Frames_raw,probe_Frames_std,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Nonliving_Things,processed\house\House80_0.png,0,1.0,1.0,1,40.92565155029297,40.92565155029297,0.0,37.536964416503906,37.536964416503906,0.0,2.5,2.5,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,42.423667907714844,42.423667907714844,0.0,4.0
Nonliving_Things,processed\house\House99_0.png,0,1.0,2.0,2,1692.00341796875,1692.00341796875,0.0,1688.1177978515625,1688.1177978515625,0.0,3.0,3.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1693.5069580078125,1693.5069580078125,0.0,195.0
Nonliving_Things,processed\house\House85_0.png,0,1.0,1.0,1,627.307373046875,627.307373046875,0.0,624.9224853515625,624.9224853515625,0.0,1.5,1.5,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,628.808837890625,628.808837890625,0.0,71.0
Living_Things,processed\face\female_28_0.png,0,1.0,1.0,1,1533.0281982421875,1533.0281982421875,0.0,1530.6431884765625,1530.6431884765625,0.0,1.5,1.5,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1534.5296630859375,1534.5296630859375,0.0,177.0
Nonliving_Things,processed\house\House76_0.png,0,1.0,2.0,2,943.1893920898438,943.1893920898438,0.0,941.30615234375,941.30615234375,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,944.6909790039062,944.6909790039062,0.0,108.0
Living_Things,processed\face\female_39_0.png,0,1.0,1.0,1,958.4744873046875,958.4744873046875,0.0,956.5877075195312,956.5877075195312,0.0,1.0,1.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,959.9752807617188,959.9752807617188,0.0,110.0
Nonliving_Things,processed\house\3257831_House58_0.png,0,1.0,2.0,2,1710.7890625,1710.7890625,0.0,1706.9027099609375,1706.9027099609375,0.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1712.2904052734375,1712.2904052734375,0.0,197.0
Nonliving_Things,processed\house\House11_0.png,0,1.0,2.0,2,1525.1370849609375,1525.1370849609375,0.0,1523.2525634765625,1523.2525634765625,0.0,1.0,1.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1526.63818359375,1526.63818359375,0.0,176.0
Nonliving_Things,processed\house\House43_0.png,0,1.0,1.0,1,423.40386962890625,423.40386962890625,0.0,421.01904296875,421.01904296875,0.0,1.5,1.5,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,424.9053039550781,424.9053039550781,0.0,48.0
Nonliving_Things,processed\house\House41_0.png,0,1.0,1.0,1,1055.7684326171875,1055.7684326171875,0.0,1052.3822021484375,1052.3822021484375,0.0,2.5,2.5,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1057.2698974609375,1057.2698974609375,0.0,121.0
Nonliving_Things,processed\house\House47_0.png,0,1.0,1.0,1,1593.7554931640625,1593.7554931640625,0.0,1591.8709716796875,1591.8709716796875,0.0,1.0,1.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1595.2568359375,1595.2568359375,0.0,184.0
Nonliving_Things,processed\house\House90_0.png,0,1.0,2.0,2,248.58016967773438,248.58016967773438,0.0,246.6950225830078,246.6950225830078,0.0,1.0,1.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,250.080810546875,250.080810546875,0.0,29.0
Nonliving_Things,processed\house\House59_0.png,0,1.0,2.0,2,1097.1932373046875,1097.1932373046875,0.0,1094.3077392578125,1094.3077392578125,0.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1098.694580078125,1098.694580078125,0.0,126.0
Nonliving_Things,processed\house\House57_0.png,0,1.0,1.0,1,602.1490478515625,602.1490478515625,0.0,598.7796630859375,598.7796630859375,0.0,2.5,2.5,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,603.6505737304688,603.6505737304688,0.0,68.0
Nonliving_Things,processed\house\House26_0.png,0,1.0,1.0,1,234.81602478027344,234.81602478027344,0.0,232.93255615234375,232.93255615234375,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,236.31707763671875,236.31707763671875,0.0,27.0
Living_Things,processed\face\female_55_0.png,0,1.0,1.0,1,1113.9791259765625,1113.9791259765625,0.0,1110.590576171875,1110.590576171875,0.0,2.5,2.5,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1115.4783935546875,1115.4783935546875,0.0,128.0
Nonliving_Things,processed\house\House30_0.png,0,1.0,1.0,1,193.8600311279297,193.8600311279297,0.0,189.9883270263672,189.9883270263672,0.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,195.35989379882812,195.35989379882812,0.0,22.0
Nonliving_Things,processed\house\House51_0.png,0,1.0,1.0,1,159.2903289794922,159.2903289794922,0.0,156.92189025878906,156.92189025878906,0.0,1.5,1.5,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,160.79180908203125,160.79180908203125,0.0,18.0
Nonliving_Things,processed\house\House92_0.png,0,1.0,1.0,1,1081.9278564453125,1081.9278564453125,0.0,1079.0421142578125,1079.0421142578125,0.0,2.0,2.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1083.4296875,1083.4296875,0.0,124.0
Nonliving_Things,processed\house\House77_0.png,0,1.0,2.0,2,750.1135864257812,750.1135864257812,0.0,748.2456665039062,748.2456665039062,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,751.6148071289062,751.6148071289062,0.0,86.0
Nonliving_Things,processed\house\House33_0.png,0,1.0,1.0,1,1422.0006103515625,1422.0006103515625,0.0,1419.6324462890625,1419.6324462890625,0.0,1.5,1.5,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1423.5020751953125,1423.5020751953125,0.0,164.0
Living_Things,processed\face\male_32_0.png,0,1.0,2.0,2,784.1807861328125,784.1807861328125,0.0,782.2799072265625,782.2799072265625,0.0,1.0,1.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,785.6821899414062,785.6821899414062,0.0,90.0
Nonliving_Things,processed\house\House35_0.png,0,1.0,2.0,2,1548.8104248046875,1548.8104248046875,0.0,1545.925048828125,1545.925048828125,0.0,2.0,2.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1550.31201171875,1550.31201171875,0.0,179.0
Nonliving_Things,processed\house\House73_0.png,0,1.0,2.0,2,701.2979125976562,701.2979125976562,0.0,698.4124755859375,698.4124755859375,0.0,2.0,2.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,702.7993774414062,702.7993774414062,0.0,80.0
Nonliving_Things,processed\house\3257813_House74_0.png,0,1.0,2.0,2,1649.0772705078125,1649.0772705078125,0.0,1645.69140625,1645.69140625,0.0,2.5,2.5,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1650.5787353515625,1650.5787353515625,0.0,190.0
Living_Things,processed\face\male_53_0.png,0,1.0,1.0,1,735.8659057617188,735.8659057617188,0.0,731.979248046875,731.979248046875,0.0,3.0,3.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,737.3673706054688,737.3673706054688,0.0,84.0
Nonliving_Things,processed\house\House56_0.png,0,1.0,2.0,2,32.530391693115234,32.530391693115234,0.0,29.145137786865234,29.145137786865234,0.0,2.5,2.5,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,34.03186798095703,34.03186798095703,0.0,3.0
Nonliving_Things,processed\house\House95_0.png,0,1.0,1.0,1,926.406005859375,926.406005859375,0.0,924.5381469726562,924.5381469726562,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,927.9073486328125,927.9073486328125,0.0,106.0
Living_Things,processed\face\female_63_0.png,0,1.0,2.0,2,1397.359375,1397.359375,0.0,1395.4613037109375,1395.4613037109375,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1398.8609619140625,1398.8609619140625,0.0,161.0
Nonliving_Things,processed\house\House100_0.png,0,1.0,2.0,2,766.3794555664062,766.3794555664062,0.0,764.5119018554688,764.5119018554688,0.0,1.0,1.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,767.8811645507812,767.8811645507812,0.0,88.0
Living_Things,processed\face\female_8_0.png,0,1.0,2.0,2,1612.524169921875,1612.524169921875,0.0,1609.6387939453125,1609.6387939453125,0.0,2.0,2.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1614.025634765625,1614.025634765625,0.0,186.0
Living_Things,processed\face\female_78_0.png,0,1.0,2.0,2,582.879638671875,582.879638671875,0.0,579.0101928710938,579.0101928710938,0.0,3.0,3.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,584.3811645507812,584.3811645507812,0.0,66.0
Living_Things,processed\face\male_63_0.png,0,1.0,1.0,1,319.1832275390625,319.1832275390625,0.0,316.31439208984375,316.31439208984375,0.0,2.0,2.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,320.68475341796875,320.68475341796875,0.0,37.0
Living_Things,processed\face\male_4_0.png,0,1.0,2.0,2,460.94134521484375,460.94134521484375,0.0,457.5721435546875,457.5721435546875,0.0,2.5,2.5,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,462.4427185058594,462.4427185058594,0.0,52.0
Nonliving_Things,processed\house\House97_0.png,0,1.0,1.0,1,1630.2918701171875,1630.2918701171875,0.0,1627.423095703125,1627.423095703125,0.0,2.0,2.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1631.7933349609375,1631.7933349609375,0.0,188.0
Nonliving_Things,processed\house\House84_0.png,0,1.0,1.0,1,985.6492919921875,985.6492919921875,0.0,981.761962890625,981.761962890625,0.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,987.1497802734375,987.1497802734375,0.0,113.0
Nonliving_Things,processed\house\House82_0.png,0,1.0,2.0,2,201.7493133544922,201.7493133544922,0.0,198.86380004882812,198.86380004882812,0.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,203.250732421875,203.250732421875,0.0,23.0
Nonliving_Things,processed\house\House24_0.png,0,1.0,1.0,1,90.20470428466797,90.20470428466797,0.0,88.32018280029297,88.32018280029297,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,91.70620727539062,91.70620727539062,0.0,10.0
Living_Things,processed\face\male_8_0.png,0,1.0,2.0,2,900.7471313476562,900.7471313476562,0.0,896.8600463867188,896.8600463867188,0.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,902.2484741210938,902.2484741210938,0.0,103.0
Nonliving_Things,processed\house\House98_0.png,0,1.0,1.0,1,1381.5770263671875,1381.5770263671875,0.0,1379.6925048828125,1379.6925048828125,0.0,1.0,1.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1383.078369140625,1383.078369140625,0.0,159.0
Living_Things,processed\face\female_85_0.png,0,1.0,2.0,2,1183.595947265625,1183.595947265625,0.0,1179.6925048828125,1179.6925048828125,0.0,3.0,3.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1185.1019287109375,1185.1019287109375,0.0,136.0
Living_Things,processed\face\female_44_0.png,0,1.0,2.0,2,175.05592346191406,175.05592346191406,0.0,173.18829345703125,173.18829345703125,0.0,1.0,1.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,176.5574951171875,176.5574951171875,0.0,20.0
Nonliving_Things,processed\house\House31_0.png,0,1.0,2.0,2,644.0908203125,644.0908203125,0.0,642.2063598632812,642.2063598632812,0.0,1.0,1.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,645.59228515625,645.59228515625,0.0,73.0
Living_Things,processed\face\male_74_0.png,0,1.0,1.0,1,124.73910522460938,124.73910522460938,0.0,122.35408782958984,122.35408782958984,0.0,1.5,1.5,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,126.240478515625,126.240478515625,0.0,14.0
Living_Things,processed\face\male_96_0.png,0,1.0,2.0,2,993.5402221679688,993.5402221679688,0.0,991.6558227539062,991.6558227539062,0.0,1.0,1.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,995.0411376953125,995.0411376953125,0.0,114.0
Living_Things,processed\face\female_52_0.png,0,1.0,2.0,2,685.0164184570312,685.0164184570312,0.0,683.1468505859375,683.1468505859375,0.0,1.0,1.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,686.516845703125,686.516845703125,0.0,78.0
Living_Things,processed\face\male_17_0.png,0,1.0,2.0,2,1474.8033447265625,1474.8033447265625,0.0,1472.43505859375,1472.43505859375,0.0,1.5,1.5,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1476.3048095703125,1476.3048095703125,0.0,170.0
Living_Things,processed\face\male_43_0.png,0,1.0,1.0,1,73.93817901611328,73.93817901611328,0.0,71.56983184814453,71.56983184814453,0.0,1.5,1.5,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,75.44005584716797,75.44005584716797,0.0,8.0
Living_Things,processed\face\female_66_0.png,0,1.0,1.0,1,725.4720458984375,725.4720458984375,0.0,723.5877075195312,723.5877075195312,0.0,1.0,1.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,726.9735717773438,726.9735717773438,0.0,83.0
Nonliving_Things,processed\house\House39_0.png,0,1.0,1.0,1,15.24654483795166,15.24654483795166,0.0,13.378673553466797,13.378673553466797,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,16.747779846191406,16.747779846191406,0.0,1.0
Living_Things,processed\face\female_92_0.png,0,1.0,1.0,1,1131.744384765625,1131.744384765625,0.0,1127.85791015625,1127.85791015625,0.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1133.2457275390625,1133.2457275390625,0.0,130.0
Living_Things,processed\face\female_14_0.png,0,1.0,2.0,2,209.65724182128906,209.65724182128906,0.0,207.7587890625,207.7587890625,0.0,1.0,1.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,211.159423828125,211.159423828125,0.0,24.0
Living_Things,processed\face\male_90_0.png,0,1.0,1.0,1,1657.986083984375,1657.986083984375,0.0,1655.5855712890625,1655.5855712890625,0.0,1.5,1.5,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1659.4876708984375,1659.4876708984375,0.0,191.0
Nonliving_Things,processed\house\House29_0.png,0,1.0,2.0,2,618.4153442382812,618.4153442382812,0.0,615.0459594726562,615.0459594726562,0.0,2.5,2.5,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,619.91650390625,619.91650390625,0.0,70.0
Nonliving_Things,processed\house\House72_0.png,0,1.0,2.0,2,863.6766967773438,863.6766967773438,0.0,861.7923583984375,861.7923583984375,0.0,1.0,1.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,865.1781616210938,865.1781616210938,0.0,99.0
Living_Things,processed\face\male_83_0.png,0,1.0,1.0,1,493.00665283203125,493.00665283203125,0.0,490.6218566894531,490.6218566894531,0.0,1.5,1.5,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,494.5083312988281,494.5083312988281,0.0,56.0
Living_Things,processed\face\female_32_0.png,0,1.0,2.0,2,1029.10986328125,1029.10986328125,0.0,1025.724365234375,1025.724365234375,0.0,2.5,2.5,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1030.6102294921875,1030.6102294921875,0.0,118.0
Living_Things,processed\face\male_65_0.png,0,1.0,1.0,1,1002.9323120117188,1002.9323120117188,0.0,999.0462646484375,999.0462646484375,0.0,3.0,3.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1004.4337768554688,1004.4337768554688,0.0,115.0
Nonliving_Things,processed\house\House21_0.png,0,1.0,1.0,1,508.7890930175781,508.7890930175781,0.0,506.9046936035156,506.9046936035156,0.0,1.0,1.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,510.29052734375,510.29052734375,0.0,58.0
Living_Things,processed\face\female_77_0.png,0,1.0,1.0,1,1242.8228759765625,1242.8228759765625,0.0,1239.952880859375,1239.952880859375,0.0,2.0,2.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1244.3233642578125,1244.3233642578125,0.0,143.0
Living_Things,processed\face\female_17_0.png,0,1.0,2.0,2,1566.094482421875,1566.094482421875,0.0,1562.2081298828125,1562.2081298828125,0.0,3.0,3.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1567.595947265625,1567.595947265625,0.0,181.0
Nonliving_Things,processed\house\House6_0.png,0,1.0,1.0,1,880.9605712890625,880.9605712890625,0.0,878.0751342773438,878.0751342773438,0.0,2.0,2.0,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,882.464111328125,882.464111328125,0.0,101.0
Living_Things,processed\face\female_56_0.png,0,1.0,2.0,2,1105.084228515625,1105.084228515625,0.0,1103.1998291015625,1103.1998291015625,0.0,1.0,1.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1106.585693359375,1106.585693359375,0.0,127.0
Nonliving_Things,processed\house\House66_0.png,0,1.0,2.0,2,310.8089599609375,310.8089599609375,0.0,308.9404296875,308.9404296875,0.0,1.0,1.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,312.3096008300781,312.3096008300781,0.0,36.0
Nonliving_Things,processed\house\House86_0.png,0,1.0,2.0,2,1431.376708984375,1431.376708984375,0.0,1428.0074462890625,1428.0074462890625,0.0,2.5,2.5,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1432.878173828125,1432.878173828125,0.0,165.0
Living_Things,processed\face\female_36_0.png,0,1.0,1.0,1,7.872526168823242,7.872526168823242,0.0,6.001491546630859,6.001491546630859,0.0,1.0,1.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,9.379024505615234,9.379024505615234,0.0,0.0
Living_Things,processed\face\male_91_0.png,0,1.0,1.0,1,909.1387329101562,909.1387329101562,0.0,906.7538452148438,906.7538452148438,0.0,1.5,1.5,3.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,910.6402587890625,910.6402587890625,0.0,104.0
Nonliving_Things,processed\house\House50_0.png,0,1.0,2.0,2,109.45722198486328,109.45722198486328,0.0,106.08793640136719,106.08793640136719,0.0,2.5,2.5,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,110.95858001708984,110.95858001708984,0.0,12.0
Living_Things,processed\face\female_25_0.png,0,1.0,1.0,1,1491.0693359375,1491.0693359375,0.0,1488.183837890625,1488.183837890625,0.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'V_nV',0.0,0.0,0.0,,1492.571044921875,1492.571044921875,0.0,172.0
Nonliving_Things,processed\house\House83_0.png,0,1.0,1.0,1,1330.2265625,1330.2265625,0.0,1327.8406982421875,1327.8406982421875,0.0,1.5,1.5,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,'nV_V',0.0,0.0,0.0,,1331.7271728515625,1331.7271728515625,0.0,153.0
