category,image_name,count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,probe_routine.started,image_onset_time,blank.started,blank.stopped,probe.started,probe.stopped,probe_routine.stopped,postmask.started,postmask_1.started,postmask_1.stopped,postmask.stopped,jitter_delay.started,jitter1,delay_post_mask.started,delay_post_mask.stopped,jitter_delay.stopped,response_routine.started,discrim_resptime,response_window,response.started,tell_response.started,response_routine.stopped,correctAns,response.corr,response.keys,visibility.started,visible_resptime,visible.started,tell_visible.started,visibility.stopped,visible.keys,visible.corr,probe_Frames,post_trial_jitter.started,jitter2,post_fixation.started,post_fixation.stopped,post_trial_jitter.stopped,show_message.started,show_message.stopped,response.stopped,tell_response.stopped,visible.stopped,tell_visible.stopped,n_square,probeFrames,participant,session,image_size,postmask_dur,block,date,expName,psychopyVersion,frameRate,expStart,
Living_Things,processed\face\female_36_0.png,0,0,0,0,80,6.015399499970954,,6.001485899963882,6.001491500006523,6.015399499970954,6.520591599983163,6.563598499982618,6.568098599964287,6.564386699988972,6.5644005999783985,6.568098599964287,6.887721400009468,6.871546799957287,6.871557799982838,1.0,6.887721400009468,7.888603299972601,7.872506099985912,7.8725230999989435,7.87252630002331,V_nV,7.888603299972601,7.888603299972601,9.373705899983179,1,0,None,9.379015699960291,9.379024500027299,9.39009449997684,9.39009449997684,10.87514530000044,None,0,1,10.875818000000436,2.5,10.891569399973378,13.395075899956282,13.377870799973607,13.377888299990445,13.378358999965712,,,,,64,1,1,001,300,20,1,2023-10-25_13h11.49.579,post-mask-only,2023.2.3,59.964584925706816,2023-10-25 13h11.55.511432 +0800,
Nonliving_Things,processed\house\House39_0.png,0,0,1,1,64,13.395075899956282,,13.378669900004752,13.378673500032164,13.395075899956282,13.894587099959608,13.911520199966617,13.92836379999062,13.912004399986472,13.912022300006356,13.92836379999062,14.261930999986362,14.247284699988086,14.247317300003488,1.0,14.261930999986362,15.262763199978508,15.246525299968198,15.246542099979706,15.246545000001788,nV_V,15.262763199978508,15.262763199978508,16.747495599964168,1,0,None,16.74777749995701,16.747780700039584,16.76423689996591,16.76423689996591,18.2491404999746,None,0,1,18.249469899979886,2.0,18.26568650000263,20.269764799973927,20.251808599976357,20.251821299956646,20.252190399973188,,,,,64,1,1,001,300,20,1,2023-10-25_13h11.49.579,post-mask-only,2023.2.3,59.964584925706816,2023-10-25 13h11.55.511432 +0800,
Living_Things,processed\face\female_47_0.png,0,0,2,2,106,20.269764799973927,,20.25249449996045,20.252495700027794,20.269764799973927,20.785627299977932,20.803546499984805,20.819297699956223,20.804986300005112,20.805044599983376,20.819297699956223,21.152141499973368,21.13744169997517,21.13745449995622,1.5,21.152141499973368,22.653343499987386,22.637166299973615,22.637183299986646,22.637187200016342,V_nV,22.653343499987386,22.653343499987386,24.138229999982286,1,0,None,24.1385957999737,24.13860130001558,24.155105699959677,24.155105699959677,25.639763099956326,None,0,1,25.639994699973613,3.5,25.65648050000891,29.16222439997364,29.14457239996409,29.144585500005633,29.1449169999687,,,,,64,1,1,001,300,20,1,2023-10-25_13h11.49.579,post-mask-only,2023.2.3,59.964584925706816,2023-10-25 13h11.55.511432 +0800,
Nonliving_Things,processed\house\House56_0.png,0,0,3,3,41,29.16222439997364,,29.145136200007983,29.145137200015597,29.16222439997364,29.67773070000112,29.694622399983928,29.71119359997101,29.695160900009796,29.695174899999984,29.71119359997101,30.044970499991905,30.028753999969922,30.02876549999928,2.5,30.044970499991905,32.54712890001247,32.53037210000912,32.530389999970794,32.53039339999668,V_nV,32.54712890001247,32.54712890001247,34.03150719997939,2,0,None,34.03186270000879,34.03186839999398,34.047986099962145,34.047986099962145,35.532958399970084,None,0,1,35.53331159998197,2.0,35.54953989997739,37.558434700011276,37.5360354000004,37.536056599987205,37.53659149998566,,,,,64,1,1,001,300,20,1,2023-10-25_13h11.49.579,post-mask-only,2023.2.3,59.964584925706816,2023-10-25 13h11.55.511432 +0800,
Nonliving_Things,processed\house\House80_0.png,0,0,4,4,15,37.558434700011276,,37.53696050000144,37.53696430003038,37.558434700011276,38.06865079997806,38.085641799960285,38.10254089999944,38.08614520000992,38.08616259996779,38.10254089999944,38.436316999956034,38.420053499983624,38.42006599996239,2.5,38.436316999956034,40.93823759997031,40.92562509997515,40.92564819997642,40.925651900004596,nV_V,40.93823759997031,40.93823759997031,42.423417899990454,1,0,None,42.42366450000554,42.4236672000261,42.439865999971516,42.439865999971516,43.92502769996645,None,0,1,43.925298499991186,3.0,43.94125209999038,46.94589279999491,46.92818809999153,46.92820639995625,46.92865299998084,42.439865999971516,42.439865999971516,43.94125209999038,43.94125209999038,64,1,1,001,300,20,1,2023-10-25_13h11.49.579,post-mask-only,2023.2.3,59.964584925706816,2023-10-25 13h11.55.511432 +0800,
Living_Things,processed\face\male_18_0.png,0,0,5,5,0,46.94589279999491,,46.92897010000888,46.928973700036295,46.94589279999491,47.46136670000851,47.478620999958366,47.49502059997758,47.47918679995928,47.47920439997688,47.49502059997758,47.828478100011125,47.812812399992254,47.812823999964166,1.5,47.828478100011125,49.33002860000124,49.31370150001021,49.31371769995894,49.31371910002781,V_nV,49.33002860000124,49.33002860000124,50.81489529996179,1,0,None,50.81517219997477,50.81517489999533,50.831465399998706,50.831465399998706,52.31637299997965,None,0,1,52.31670510000549,2.0,52.33308650000254,54.335705399978906,54.31869240000378,54.318706599995494,54.319060200010426,,,,,64,1,1,001,300,20,1,2023-10-25_13h11.49.579,post-mask-only,2023.2.3,59.964584925706816,2023-10-25 13h11.55.511432 +0800,
Nonliving_Things,processed\house\House2_0.png,0,0,6,6,195,54.335705399978906,,54.31932000000961,54.31932200002484,54.335705399978906,54.835356399999,54.85242599999765,54.86905909999041,54.85293829999864,54.85295520001091,54.86905909999041,55.20261959999334,55.18844930001069,55.18846889998531,3.0,55.20261959999334,58.20551719999639,58.18933500000276,58.18935160001274,58.18935480003711,V_nV,58.20551719999639,58.20551719999639,59.69093909999356,2,0,None,59.69127989996923,59.691285000008065,59.70743579999544,59.70743579999544,61.19191970000975,None,0,1,61.19226479995996,2.5,61.208584999956656,63.71158840000862,63.69474850001279,63.69476659997599,63.695210699981544,,,,,64,1,1,001,300,20,1,2023-10-25_13h11.49.579,post-mask-only,2023.2.3,59.964584925706816,2023-10-25 13h11.55.511432 +0800,
Nonliving_Things,processed\house\House38_0.png,0,0,7,7,2,63.71158840000862,,63.69552609999664,63.695529800024815,63.71158840000862,64.21187729999656,64.22849349997705,64.24518159998115,64.22904659999767,64.2290648999624,64.24518159998115,64.57890699995914,64.56370120000793,64.56372989999363,1.5,64.57890699995914,66.08004480000818,66.06376240000827,66.06378049997147,66.0637843000004,nV_V,66.08004480000818,66.08004480000818,67.56611600000178,1,0,None,67.56671149999602,67.56672280002385,67.58233309997013,67.58233309997013,69.06647179997526,None,0,1,69.06680589995813,2.5,69.08361939998576,71.5866032000049,71.56923909997568,71.56925199995749,71.569589599967,,,,,64,1,1,001,300,20,1,2023-10-25_13h11.49.579,post-mask-only,2023.2.3,59.964584925706816,2023-10-25 13h11.55.511432 +0800,
Living_Things,processed\face\male_43_0.png,0,0,8,8,62,71.5866032000049,,71.56983019999461,71.56983190000756,71.5866032000049,72.08593629999086,72.10296469996683,72.11976380000124,72.1035666000098,72.10358349996386,72.11976380000124,72.45304079999914,72.43751640000846,72.43753449997166,1.5,72.45304079999914,73.95456939999713,73.93816789996345,73.9381807000027,73.93818190001184,V_nV,73.95456939999713,73.95456939999713,75.43964100000449,1,0,None,75.44004630000563,75.44005239999387,75.45597839995753,75.45597839995753,76.94105659995694,None,0,1,76.94138049997855,3.0,76.95756899996195,79.96171149995644,79.94438890001038,79.9444066999713,79.9448503999738,,,,,64,1,1,001,300,20,1,2023-10-25_13h11.49.579,post-mask-only,2023.2.3,59.964584925706816,2023-10-25 13h11.55.511432 +0800,
Living_Things,processed\face\male_66_0.png,0,0,9,9,145,79.96171149995644,,79.94517479999922,79.94517840002663,79.96171149995644,80.46187040000223,80.47831919998862,80.49657299998216,80.478913799976,80.47893029998522,80.49657299998216,80.82816729997285,80.81256719998783,80.81259149999823,1.5,80.82816729997285,82.32953539997106,82.3139749999973,82.3139956999803,82.31400030001532,V_nV,82.32953539997106,82.32953539997106,83.81466159998672,1,0,None,83.81502089998685,83.81502670003101,83.83109549997607,83.83109549997607,85.31601959996624,None,0,1,85.3162941999617,3.0,85.332569399965,88.35229760000948,88.31939339998644,88.31941190001089,88.31985979998717,,,,,64,1,1,001,300,20,1,2023-10-25_13h11.49.579,post-mask-only,2023.2.3,59.964584925706816,2023-10-25 13h11.55.511432 +0800,
